ID,ID,Title,Full title,Publication date,Maps,Study design,Regions,Countries,Population,Interventions,Outcomes,Link
ACERgem0001,ACERgem0001,"Borisova, I., Pisani, L., Dowd, A. J., & Lin, H.-C. (2017). [Ethiopia]",Effective interventions to strengthen early language and literacy skills in low-income countries,1-Jan-17,Improving young children's learning in economically developing countries - Scoping review,,,,,Comparative,Africa and the Middle East||2014-2017||Preschooler,https://doi.org/10.1080/03004430.2016.1255607
ACERgem0002,ACERgem0002,"Kagitcibasi, C., Sunar, D., & Bekman, S. (2001). [Turkey]",Long-term effects of early intervention: Turkish low-income mothers and children,1-Jan-01,Improving young children's learning in economically developing countries - Scoping review,,,,,Comparative,Africa and the Middle East||1998-2005||Preschooler,https://doi.org/10.1016/S0193-3973(01)00071-5
ACERgem0003,ACERgem0003,"Kagitcibasi, C., Sunar, D., Bekman, S., Baydar, N., & Cemalcilar, Z. (2009).  [Turkey]",Continuing effects of early enrichmentin adult life: The Turkish Early Enrichment Project 22 years later,1-Jan-09,Improving young children's learning in economically developing countries - Scoping review,,,,,Comparative,Africa and the Middle East||2006-2009||Preschooler,https://doi.org/10.1016/j.appdev.2009.05.003
ACERgem0004,ACERgem0004,"Rao, N., & Pearson, E. (2007). [Cambodia]",An evaluation of early childhood care and education programmes in Cambodia,1-Jan-07,Improving young children's learning in economically developing countries - Scoping review,,,,,Comparative,East Asia||2006-2009||Preschooler,
ACERgem0005,ACERgem0005,"Rolla San Francisco, A., Arias, M., Villers, R., & Snow, C. (2006). [Costa Rica]",Evaluating the impact of different early literacy interventions on low-income Costa Rican kindergarteners,1-Jan-06,Improving young children's learning in economically developing countries - Scoping review,,,,,Comparative,Latin America and the Caribbean||2006-2009||Preschooler,https://doi.org/10.1016/j.ijer.2006.11.002
ACERgem0006,ACERgem0006,"Armecin, G., Behrman, J. R., Ghuman, S., Gultiano, S., King, E. M., Lee, N., & World Bank, W. D. C. (2006). [Philippines]",Early Childhood Development Through an Integrated Program: Evidence from the Philippines,1-Jan-06,Improving young children's learning in economically developing countries - Scoping review,,,,,Integrated,East Asia||2006-2009||Newborn||Infant||Toddler||Preschooler,
ACERgem0007,ACERgem0007,"Cueto, S., Guerrero, G., Leon, J., Zevallos, A., & Sugimaru, C. (2009). [Peru]",Promoting Early Childhood Development through a Public Programme: Wawa Wasi in Peru,1-Jan-09,Improving young children's learning in economically developing countries - Scoping review,,,,,Integrated,Latin America and the Caribbean||2006-2009||Infant||Toddler,
ACERgem0008,ACERgem0008,"Peairson, S., Austin, A. M., de Aquino, C. N., & de Burro, E. U. (2008). [Paraguay]",Cognitive development and home environment of rural Paraguayan infants and toddlers,1-Jan-08,Improving young children's learning in economically developing countries - Scoping review,,,,,Integrated,Latin America and the Caribbean||2006-2009||Newborn||Infant||Toddler,
ACERgem0009,ACERgem0009,"Watanabe, K., Flores, R., Fujiwara, J., & Tran, L. T. H. (2005). [Vietnam]",Early childhood development interventions and cognitive development of young children in rural Vietnam,1-Jan-05,Improving young children's learning in economically developing countries - Scoping review,,,,,Integrated,East Asia||1998-2005||Other,
ACERgem0010,ACERgem0010,"Aboud, F. E., & Hossain, K. (2011).  [Bangladesh]",The impact of preprimary school on primary school achievement in Bangladesh,1-Jan-11,Improving young children's learning in economically developing countries - Scoping review,,,,,Child-focused,South and West Asia||2010-2013||Preschooler,https://doi.org/10.1016/j.ecresq.2010.07.001
ACERgem0011,ACERgem0011,"Aboud, F. E., Hossain, K., & O'Gara, C. (2008). [Bangladesh]",The Succeed Project: challenging early school failure in Bangladesh,1-Jan-08,Improving young children's learning in economically developing countries - Scoping review,,,,,Child-focused,South and West Asia||2006-2009||Preschooler,
ACERgem0012,ACERgem0012,"Aguilar, R., & Tansini, R. (2012). [Uruguay]",Joint analysis of preschool attendance and school performance in the short and long-run,1-Jan-12,Improving young children's learning in economically developing countries - Scoping review,,,,,Child-focused,Latin America and the Caribbean||2010-2013||Preschooler,
ACERgem0013,ACERgem0013,American Institutes for Research. (2013). [Bangladesh; China; the Democratic Republic of Congo (DRC); Ethiopia; Tajikistan; Yemen],Getting Ready for School: A Child-to-Child Approach,1-Jan-13,Improving young children's learning in economically developing countries - Scoping review,,,,,Child-focused,South and West Asia||Africa and the Middle East||East Asia||2010-2013||Preschooler,http://www.childtochild.org.uk/wp-content/uploads/2014/07/AIR-Report-of-Child-to-Child-Pilot-Findings_June_-2013_A4.pdf
ACERgem0014,ACERgem0014,"Behrman, J. R., Cheng, Y., & Todd, P. E. (2004). [Bolivia]",Evaluating preschool Programs when length of exposure to the program varies: A nonparametric approach,1-Jan-04,Improving young children's learning in economically developing countries - Scoping review,,,,,Child-focused,Latin America and the Caribbean||1998-2005||Infant||Toddler||Preschooler,
ACERgem0015,ACERgem0015,"Bekman, S., Aksu-Koc, A., & Erguvanli-Taylan, E. (2012). [Turkey]",Effectiveness of an intervention program for six year- olds: a summer-school model,1-Jan-11,Improving young children's learning in economically developing countries - Scoping review,,,,,Child-focused,Africa and the Middle East||2010-2013||Preschooler,
ACERgem0016,ACERgem0016,"Berlinski, S., Galiani, S., & Gertler, P. (2009). [Argentina]",The effect of pre-primary education on primary school performance,1-Jan-08,Improving young children's learning in economically developing countries - Scoping review,,,,,Child-focused,Latin America and the Caribbean||2006-2009||Preschooler,
